Updated 3/22/2024,,,,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CID,CRPName,Party,DistIDRunFor,FECCandID,,,
,N00048815,"Aadland, Erik",R,CO07,H2CO07170,,,
,N00034296,"Aalders, Tim",R,UT03,H2UT03280,,,
,N00047923,"Aazami, Shervin",D,CA32,H2CA30291,,,
,N00051397,"Abahsain, Jill",D,MN07,H2MN07162,,,
,N00051715,"Abbott, Martha",3,VTS2,S2VT00359,,,
,N00048268,"Abdelhamid, Rana",D,NY12,H2NY12197,,,
,N00049304,"Abdirahman, Shukri",R,MN05,H2MN05174,,,
,N00050440,"Abdullahi, Munira Yasin",D,OH09,H2OH09197,,,
,N00051621,"Abkin, Steven L.",3,HI01,H2HI01146,,,
,N00051632,"Abrahamson, Brian",3,MN01,H2MN01371,,,
,N00048100,"Abud, Edward",D,FLS2,S2FL00482,,,
,N00049767,"Abuzeid, George",R,SC04,H2SC04154,,,
,N00048254,"Acciard, Julian",R,NH01,H2NH01254,,,
,N00048681,"Achenbach, Jack Joseph",D,FL10,H2FL10218,,,
,N00048052,"Acheson, Phelan",I,UT02,H2UT02431,,,
,N00039865,"Acker, Brandon",D,NC03,H8NC07093,,,
,N00048242,"Ackerman, Michael",R,NC05,H2NC05165,,,
,N00035451,"Adams, Alma",D,NC12,H4NC12100,,,
,N00050901,"Adams, Jane",R,NV01,H2NV01322,,,
,N00032432,"Adams, John",R,OH15,H0OH15099,,,
,N00050031,"Adams, Larry Jr",I,SCS1,S2SC00137,,,
,N00048765,"Adams, Matt",D,TN03,H2TN03235,,,
,N00048763,"Addison, Michael",D,SC06,H2SC06126,,,
,N00049341,"Addison, Randall",I,TX09,H2TX09131,,,
,N00049287,"Adeimy, Deborah",R,FL22,H2FL21132,,,
,N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,,,
,N00045245,"Adkins, Amanda",R,KS03,H0KS03236,,,
,N00044992,"Adkins, Gary",R,VA07,H2VA07212,,,
,N00050677,"Afzal, Joseph",D,NV02,H2NV02536,,,
,N00048271,"Agan, Jeffrey Jr",D,OH05,H2OH05054,,,
